Section,#,Featured,Tales,Communities,Faction,Map,Mods,Ambition
1-Tale Scenarios,1,★,Beacon of Hope,Lords · Thinkers · Merchants,Icebloods,Windswept Peaks,—,Develop a Metropolis
1-Tale Scenarios,2,,Depleted Cores,Machinists · Foragers · Merchants,Venturers,Windswept Peaks,—,Repopulate the Frostland
1-Tale Scenarios,3,,Beacon of Hope,Merchants · Thinkers · Foragers,Technocrats,Crater,—,Build a Prosperous Future
1-Tale Scenarios,4,,Doomsayers,Machinists · Labourers · Lords,Bohemians,Crater,—,Develop a Metropolis
1-Tale Scenarios,5,,Apocalyptic Whiteout,Foragers · Merchants · Lords,Menders,Crater,—,Repopulate the Frostland
1-Tale Scenarios,6,,Doomsayers,Lords · Labourers · Machinists,Overseers,Sleeping Mountain,—,Develop a Metropolis
1-Tale Scenarios,7,,Apocalyptic Whiteout,Machinists · Foragers · Thinkers,Icebloods,Sleeping Mountain,Volcanic Night,Repopulate the Frostland
1-Tale Scenarios,8,★,Apocalyptic Whiteout,Machinists · Foragers · Merchants,Overseers,The Pit,—,Build a Prosperous Future
1-Tale Scenarios,9,,Plague,Foragers · Thinkers · Lords,Proteans,The Pit,—,Repopulate the Frostland
1-Tale Scenarios,10,,Depleted Cores,Foragers · Merchants · Thinkers,Technocrats,The Pit,—,Build a Prosperous Future
1-Tale Scenarios,11,★,Doomsayers,Lords · Thinkers · Labourers,Legionnaires,Forsaken Valley,—,Build a Prosperous Future
1-Tale Scenarios,12,,Plague,Labourers · Thinkers · Merchants,Menders,Forsaken Valley,—,Develop a Metropolis
1-Tale Scenarios,13,★,Depleted Cores,Machinists · Foragers · Labourers,Venturers,Fractured Gorge,—,Repopulate the Frostland
1-Tale Scenarios,14,,Beacon of Hope,Machinists · Thinkers · Merchants,Bohemians,Twilight Waters,—,Build a Prosperous Future
1-Tale Scenarios,15,,Doomsayers,Machinists · Thinkers · Lords,Legionnaires,Twilight Waters,Volcanic Night,Build a Prosperous Future
1-Tale Scenarios,16,★,Plague,Foragers · Thinkers · Lords,Menders,Jagged Bay,—,Develop a Metropolis
1-Tale Scenarios,17,,Depleted Cores,Foragers · Labourers · Thinkers,Technocrats,Hanging Rock,—,Repopulate the Frostland
1-Tale Scenarios,18,,Plague,Foragers · Thinkers · Lords,Proteans,Hanging Rock,—,Develop a Metropolis
1-Tale Scenarios,19,,Apocalyptic Whiteout,Foragers · Thinkers · Labourers,Icebloods,Dreadnought,—,Repopulate the Frostland
1-Tale Scenarios,20,,Depleted Cores,Machinists · Foragers · Labourers,Overseers,Broken Shore,—,Repopulate the Frostland
1-Tale Scenarios,21,,Beacon of Hope,Lords · Thinkers · Merchants,Proteans,Broken Shore,—,Develop a Metropolis
1-Tale Scenarios,22,,Doomsayers,Lords · Labourers · Thinkers,Legionnaires,Horizon,—,Develop a Metropolis
1-Tale Scenarios,23,,Plague,Foragers · Thinkers · Labourers,Technocrats,Horizon,—,Build a Prosperous Future
1-Tale Scenarios,24,,Depleted Cores,Machinists · Foragers · Merchants,Bohemians,Horizon,Volcanic Night,Build a Prosperous Future
2-Tale Scenarios,1,,Beacon of Hope · Depleted Cores,Machinists · Foragers · Merchants,Venturers,Crater,—,Build a Prosperous Future
2-Tale Scenarios,2,,Doomsayers · Beacon of Hope,Lords · Thinkers · Labourers,Legionnaires,Forsaken Valley,—,Build a Prosperous Future
2-Tale Scenarios,3,,Beacon of Hope · Plague,Foragers · Thinkers · Lords,Menders,Jagged Bay,—,Develop a Metropolis
2-Tale Scenarios,4,,Beacon of Hope · Apocalyptic Whiteout,Machinists · Foragers · Merchants,Overseers,Sleeping Mountain,—,Develop a Metropolis
2-Tale Scenarios,5,,Depleted Cores · Apocalyptic Whiteout,Machinists · Foragers · Thinkers,Icebloods,The Pit,—,Repopulate the Frostland
2-Tale Scenarios,6,,Apocalyptic Whiteout · Doomsayers,Lords · Thinkers · Machinists,Legionnaires,Windswept Peaks,—,Build a Prosperous Future
2-Tale Scenarios,7,,Plague · Doomsayers,Foragers · Thinkers · Lords,Menders,Horizon,—,Develop a Metropolis
2-Tale Scenarios,8,,Plague · Apocalyptic Whiteout,Foragers · Thinkers · Labourers,Technocrats,Broken Shore,—,Develop a Metropolis
